No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"arduino starter kit",590,"$4.71",100,44
2,"arduino starter kit projects",50,"$5.33",100,36
3,"arduino starter kit amazon",50,"$3.63",100,36
4,"arduino starter kit tutorial",20,"$8.24",97,35
5,"arduino starter kit projects book pdf",20,"$0.96",28,14
6,"arduino starter kit manual",10,"$5.43",72,27
7,"arduino starter kit vs elegoo",10,"$0","00",5
8,"arduino starter kit book",10,"$4.13",100,36
9,"arduino starter kit pdf",10,"$0",52,21
10,"arduino starter kit review",10,"$6.03",76,28
11,"arduino starter kit multi-language",10,"$350.41",100,36
12,"arduino starter kit vs raspberry pi",0,"$0","00","00"
13,"arduino starter kit manual and example code pdf",10,"$0","00",5
